round,gateway_eui,profile,uplink_count,error_count,avg_rssi,avg_snr,roaming_count,non_roaming_count
0,SIM_GW_R1_00000001,reliable,10,0,-71.9,8.4,5,5
0,SIM_GW_R2_00000002,reliable,10,0,-67.1,9.2,5,5
0,SIM_GW_R3_00000003,reliable,10,0,-70.1,7.5,4,6
0,SIM_GW_A1_00000004,average,10,0,-89.7,3.8,3,7
0,SIM_GW_A2_00000005,average,10,0,-85.8,4.0,8,2
0,SIM_GW_P1_00000006,poor,10,1,-104.3,0.1,6,4
0,SIM_GW_P2_00000007,poor,10,3,-101.9,0.5,7,3
0,SIM_GW_D1_00000008,degrading,10,0,-69.9,8.1,1,9
1,SIM_GW_R1_00000001,reliable,10,1,-69.5,8.6,5,5
1,SIM_GW_R2_00000002,reliable,10,1,-70.5,8.9,2,8
1,SIM_GW_R3_00000003,reliable,10,0,-74.8,7.3,6,4
1,SIM_GW_A1_00000004,average,10,2,-91.1,4.5,1,9
1,SIM_GW_A2_00000005,average,10,0,-87.2,3.8,9,1
1,SIM_GW_P1_00000006,poor,10,4,-103.5,-0.2,2,8
1,SIM_GW_P2_00000007,poor,10,2,-101.9,0.5,4,6
1,SIM_GW_D1_00000008,degrading,10,0,-74.6,6.7,2,8
2,SIM_GW_R1_00000001,reliable,10,0,-68.3,8.4,7,3
2,SIM_GW_R2_00000002,reliable,10,0,-68.6,9.1,5,5
2,SIM_GW_R3_00000003,reliable,10,0,-69.0,7.3,6,4
2,SIM_GW_A1_00000004,average,10,0,-89.9,4.0,6,4
2,SIM_GW_A2_00000005,average,10,1,-87.8,3.6,9,1
2,SIM_GW_P1_00000006,poor,10,1,-106.1,-0.2,4,6
2,SIM_GW_P2_00000007,poor,10,2,-101.8,0.2,9,1
2,SIM_GW_D1_00000008,degrading,10,2,-79.5,6.5,6,4
3,SIM_GW_R1_00000001,reliable,10,0,-71.9,8.3,5,5
3,SIM_GW_R2_00000002,reliable,10,0,-67.7,9.1,2,8
