round,gateway_eui,gateway_name,profile,trust_score
0,SIM_GW_R1_00000001,reliable-gw-1,reliable,0.5
0,SIM_GW_R2_00000002,reliable-gw-2,reliable,0.5
0,SIM_GW_R3_00000003,reliable-gw-3,reliable,0.5
0,SIM_GW_A1_00000004,average-gw-1,average,0.5
0,SIM_GW_A2_00000005,average-gw-2,average,0.5
0,SIM_GW_P1_00000006,poor-gw-1,poor,0.5
0,SIM_GW_P2_00000007,poor-gw-2,poor,0.5
0,SIM_GW_D1_00000008,degrading-gw-1,degrading,0.5
1,SIM_GW_R1_00000001,reliable-gw-1,reliable,0.9094833333333333
1,SIM_GW_R2_00000002,reliable-gw-2,reliable,0.926825
1,SIM_GW_R3_00000003,reliable-gw-3,reliable,0.9084166666666667
1,SIM_GW_A1_00000004,average-gw-1,average,0.8344499999999999
1,SIM_GW_A2_00000005,average-gw-2,average,0.8453083333333333
1,SIM_GW_P1_00000006,poor-gw-1,poor,0.7735666666666666
1,SIM_GW_P2_00000007,poor-gw-2,poor,0.7820833333333332
1,SIM_GW_D1_00000008,degrading-gw-1,degrading,0.9124666666666666
2,SIM_GW_R1_00000001,reliable-gw-1,reliable,0.9132083358236625
2,SIM_GW_R2_00000002,reliable-gw-2,reliable,0.9215916624682058
2,SIM_GW_R3_00000003,reliable-gw-3,reliable,0.9016708279214637
2,SIM_GW_A1_00000004,average-gw-1,average,0.8347875002256339
2,SIM_GW_A2_00000005,average-gw-2,average,0.84287083137784
2,SIM_GW_P1_00000006,poor-gw-1,poor,0.7733916665262722
2,SIM_GW_P2_00000007,poor-gw-2,poor,0.781908333192939
2,SIM_GW_D1_00000008,degrading-gw-1,degrading,0.9019416582229467
3,SIM_GW_R1_00000001,reliable-gw-1,reliable,0.9151361160363046
3,SIM_GW_R2_00000002,reliable-gw-2,reliable,0.9218638865266999
3,SIM_GW_R3_00000003,reliable-gw-3,reliable,0.9042222231628941
3,SIM_GW_A1_00000004,average-gw-1,average,0.8348638891686871
3,SIM_GW_A2_00000005,average-gw-2,average,0.8412305513276294
3,SIM_GW_P1_00000006,poor-gw-1,poor,0.7710999962294068
3,SIM_GW_P2_00000007,poor-gw-2,poor,0.7814555546547532
3,SIM_GW_D1_00000008,degrading-gw-1,degrading,0.8939749815882791
4,SIM_GW_R1_00000001,reliable-gw-1,reliable,0.9135020829852667
4,SIM_GW_R2_00000002,reliable-gw-2,reliable,0.9225583332330558
4,SIM_GW_R3_00000003,reliable-gw-3,reliable,0.9030645810978881
4,SIM_GW_A1_00000004,average-gw-1,average,0.8354625016905831
4,SIM_GW_A2_00000005,average-gw-2,average,0.8396124927184342
4,SIM_GW_P1_00000006,poor-gw-1,poor,0.7702624951563939
4,SIM_GW_P2_00000007,poor-gw-2,poor,0.7813604157493679
4,SIM_GW_D1_00000008,degrading-gw-1,degrading,0.8864624681104184
5,SIM_GW_R1_00000001,reliable-gw-1,reliable,0.9132833322944099
5,SIM_GW_R2_00000002,reliable-gw-2,reliable,0.9220383314731762
5,SIM_GW_R3_00000003,reliable-gw-3,reliable,0.9015666599112435
5,SIM_GW_A1_00000004,average-gw-1,average,0.8349966663996923
5,SIM_GW_A2_00000005,average-gw-2,average,0.8401116624966478
5,SIM_GW_P1_00000006,poor-gw-1,poor,0.7689349915811494
5,SIM_GW_P2_00000007,poor-gw-2,poor,0.7811716653069362
5,SIM_GW_D1_00000008,degrading-gw-1,degrading,0.8792249497147404
6,SIM_GW_R1_00000001,reliable-gw-1,reliable,0.9132583323672827
6,SIM_GW_R2_00000002,reliable-gw-2,reliable,0.922298610593426
6,SIM_GW_R3_00000003,reliable-gw-3,reliable,0.8996735981411539
6,SIM_GW_A1_00000004,average-gw-1,average,0.8344041640675093
6,SIM_GW_A2_00000005,average-gw-2,average,0.8396902726688028
6,SIM_GW_P1_00000006,poor-gw-1,poor,0.7687763812440225
6,SIM_GW_P2_00000007,poor-gw-2,poor,0.780686108095231
6,SIM_GW_D1_00000008,degrading-gw-1,degrading,0.8720665963673363
7,SIM_GW_R1_00000001,reliable-gw-1,reliable,0.9130238076206364
7,SIM_GW_R2_00000002,reliable-gw-2,reliable,0.9224511907610768
7,SIM_GW_R3_00000003,reliable-gw-3,reliable,0.8981345054603778
7,SIM_GW_A1_00000004,average-gw-1,average,0.8352250015351087
7,SIM_GW_A2_00000005,average-gw-2,average,0.8400702355015234
7,SIM_GW_P1_00000006,poor-gw-1,poor,0.7681380856372978
7,SIM_GW_P2_00000007,poor-gw-2,poor,0.7803119004185008
7,SIM_GW_D1_00000008,degrading-gw-1,degrading,0.8635177560629863
8,SIM_GW_R1_00000001,reliable-gw-1,reliable,0.9118552003398251
8,SIM_GW_R2_00000002,reliable-gw-2,reliable,0.9226052094063526
8,SIM_GW_R3_00000003,reliable-gw-3,reliable,0.8974749803069045
8,SIM_GW_A1_00000004,average-gw-1,average,0.8350177085540224
8,SIM_GW_A2_00000005,average-gw-2,average,0.8396208285851416
8,SIM_GW_P1_00000006,poor-gw-1,poor,0.7682802006927147
8,SIM_GW_P2_00000007,poor-gw-2,poor,0.7806666647398699
8,SIM_GW_D1_00000008,degrading-gw-1,degrading,0.8561759139551341
9,SIM_GW_R1_00000001,reliable-gw-1,reliable,0.9116638805897661
9,SIM_GW_R2_00000002,reliable-gw-2,reliable,0.922620371417871
9,SIM_GW_R3_00000003,reliable-gw-3,reliable,0.8973092407447396
9,SIM_GW_A1_00000004,average-gw-1,average,0.8349240736859864
9,SIM_GW_A2_00000005,average-gw-2,average,0.8387944351901364
9,SIM_GW_P1_00000006,poor-gw-1,poor,0.7676453596552031
9,SIM_GW_P2_00000007,poor-gw-2,poor,0.7797768446926694
9,SIM_GW_D1_00000008,degrading-gw-1,degrading,0.8480915031812423
